months,patchanka,folk,rock,punk,trap,rap,hip_hop,disco,classical_music
2010-03,10,56,79,34,44,81,69,86,37
2010-04,11,55,78,36,44,82,72,84,36
2010-05,4,58,81,39,47,82,70,87,35
2010-06,22,59,84,36,44,77,67,78,32
2010-07,7,67,79,34,46,80,67,78,31
2010-08,7,60,81,33,47,80,69,81,32
2010-09,3,51,81,32,43,77,67,80,34
2010-10,18,51,81,35,43,81,69,78,38
2010-11,3,50,80,35,41,79,63,77,37
2010-12,12,49,79,42,44,82,63,80,34
2011-01,22,54,75,37,42,80,63,75,36
2011-02,11,50,75,33,40,77,59,73,34
2011-03,8,48,75,32,42,81,65,78,34
2011-04,3,48,78,32,43,82,63,74,32
2011-05,5,49,80,30,44,84,62,75,31
2011-06,8,55,83,34,44,82,60,75,29
2011-07,3,62,82,44,42,78,58,72,27
2011-08,0,54,80,37,45,79,57,74,28
2011-09,5,47,86,35,40,80,56,75,32
2011-10,5,45,78,35,40,83,60,79,38
2011-11,5,47,74,34,40,87,64,78,40
2011-12,12,44,75,33,41,87,63,80,36
2012-01,6,49,72,31,39,81,66,71,37
2012-02,2,47,73,32,41,84,58,69,35
2012-03,4,44,73,30,46,81,53,69,32
2012-04,20,43,76,29,61,79,56,66,32
2012-05,2,43,72,28,58,82,54,65,30
2012-06,2,47,79,29,57,81,62,63,27
2012-07,31,54,72,31,60,77,72,61,27
2012-08,12,49,72,30,57,75,77,63,28
2012-09,4,45,66,31,51,81,64,64,32
2012-10,4,41,65,32,50,79,54,61,36
2012-11,8,42,63,29,48,80,48,61,35
2012-12,6,40,65,28,49,85,51,60,33
2013-01,26,42,66,31,48,78,53,58,32
2013-02,8,43,66,32,54,81,53,56,33
2013-03,5,41,67,35,53,81,51,54,32
2013-04,3,38,71,69,51,77,56,53,32
2013-05,12,41,66,100,54,80,54,54,30
2013-06,15,46,68,71,63,82,54,52,25
2013-07,15,50,68,53,64,79,56,56,26
2013-08,5,46,69,55,66,83,53,59,28
2013-09,2,41,71,42,58,78,45,55,32
2013-10,12,40,61,37,52,94,49,62,34
2013-11,8,40,57,37,50,95,48,57,34
2013-12,6,40,61,38,54,97,47,56,32
2014-01,3,43,59,70,52,91,48,53,32
2014-02,5,41,60,56,51,89,47,55,34
2014-03,7,40,59,44,54,91,43,53,32
2014-04,6,39,63,39,57,91,53,54,31
2014-05,3,39,63,34,59,94,55,54,30
2014-06,3,43,61,32,60,87,54,50,26
2014-07,13,49,61,33,69,90,58,51,24
2014-08,10,44,61,30,66,89,57,51,27
2014-09,6,40,55,28,62,87,54,49,32
2014-10,9,37,56,29,75,91,51,51,35
2014-11,2,38,56,30,75,92,48,51,34
2014-12,4,36,59,33,81,97,51,50,31
2015-01,6,39,57,27,72,90,48,46,32
2015-02,9,40,57,26,74,94,45,48,32
2015-03,3,39,59,26,89,94,45,49,31
2015-04,10,38,64,27,96,95,47,46,30
2015-05,3,37,62,24,99,94,45,46,30
2015-06,4,41,63,25,98,91,45,46,28
2015-07,14,46,62,24,100,94,47,47,27
2015-08,7,42,60,24,88,92,48,46,28
2015-09,8,39,66,22,82,93,48,45,34
2015-10,9,37,56,23,76,98,46,46,34
2015-11,5,37,54,22,75,93,44,46,34
2015-12,9,36,57,23,75,96,49,46,32
2016-01,4,38,55,23,90,96,46,46,31
2016-02,4,37,57,23,94,100,43,44,32
2016-03,5,36,54,22,83,92,43,42,31
2016-04,5,37,56,22,74,94,44,42,29
2016-05,5,36,59,21,76,96,44,43,29
2016-06,7,39,59,21,77,90,43,42,25
2016-07,4,43,61,20,75,92,43,41,23
2016-08,7,39,53,21,72,89,44,40,24
2016-09,9,37,54,33,77,93,44,41,31
2016-10,3,34,53,23,73,89,43,43,31
2016-11,7,37,59,21,70,89,42,41,32
2016-12,17,35,59,21,71,91,41,41,30
2017-01,10,36,54,21,72,89,39,40,31
2017-02,1,36,57,23,71,89,37,39,30
2017-03,12,37,56,21,75,93,39,39,31
2017-04,10,35,59,19,77,93,39,37,29
2017-05,14,34,60,18,76,89,38,37,29
2017-06,9,37,62,18,80,86,39,37,25
2017-07,11,43,61,19,83,83,40,39,23
2017-08,8,42,56,17,79,82,42,38,25
2017-09,10,35,59,16,71,78,35,36,29
2017-10,10,38,51,17,70,81,37,37,33
2017-11,10,35,49,16,67,81,33,37,31
2017-12,15,32,54,16,71,83,33,38,29
2018-01,12,35,50,16,71,75,34,36,29
2018-02,15,33,53,16,71,75,31,35,29
2018-03,10,34,52,15,73,73,33,39,29
2018-04,5,31,52,16,73,74,30,35,27
2018-05,12,32,52,16,74,70,30,37,26
2018-06,6,34,55,20,77,71,30,39,23
2018-07,9,41,58,15,75,68,29,39,22
2018-08,8,40,53,15,76,65,28,39,25
2018-09,7,34,50,14,70,83,29,38,29
2018-10,7,34,50,15,70,68,30,39,30
2018-11,5,35,51,14,65,64,27,39,29
2018-12,7,31,51,14,65,65,26,39,25
2019-01,6,34,50,14,65,61,27,37,26
2019-02,4,32,51,14,64,65,27,36,26
2019-03,5,31,52,14,66,62,28,36,27
2019-04,12,30,51,14,70,61,25,33,25
2019-05,7,32,52,13,65,58,24,35,24
2019-06,15,33,56,14,73,59,24,34,22
2019-07,20,37,54,14,72,58,24,33,20
2019-08,21,35,52,14,68,57,25,35,23
2019-09,8,32,53,13,66,57,24,35,28
2019-10,15,31,55,14,67,57,24,37,28
2019-11,13,31,52,15,65,57,23,37,27
2019-12,10,28,50,14,71,58,24,37,24
2020-01,14,31,48,14,63,55,23,37,26
2020-02,7,31,48,14,63,56,23,33,26
2020-03,7,28,43,12,63,53,21,31,24
2020-04,5,29,45,15,72,55,24,33,27
2020-05,8,27,49,14,76,54,22,35,26
2020-06,4,25,48,13,76,52,19,35,22
2020-07,8,25,46,13,77,52,19,34,20
2020-08,8,26,45,12,80,53,18,32,22
2020-09,12,28,44,12,74,52,19,31,27
2020-10,7,33,42,12,65,52,18,30,24
2020-11,3,28,39,12,62,50,17,30,22
2020-12,10,28,39,17,59,47,17,31,21
2021-01,12,29,40,13,60,46,18,28,25
2021-02,8,28,38,45,60,44,19,28,25
2021-03,7,28,41,16,65,45,17,30,22
2021-04,7,28,42,14,61,45,17,32,20
2021-05,7,27,44,13,65,45,17,31,20
2021-06,6,25,43,12,63,41,17,29,16
2021-07,10,26,45,14,71,42,17,31,16
2021-08,10,27,45,19,68,40,17,31,16
2021-09,6,32,42,14,62,39,17,29,20
2021-10,12,30,42,13,60,42,16,31,21
2021-11,6,29,43,12,59,40,16,30,24
2021-12,9,27,43,12,56,43,16,28,22
2022-01,9,32,44,13,59,44,17,31,24
2022-02,4,36,45,16,64,44,18,34,26
2022-03,7,38,73,14,69,41,17,34,25
2022-04,12,34,52,14,66,42,16,34,25
2022-05,4,31,44,14,65,41,16,34,22
2022-06,13,35,50,14,65,41,16,34,19
2022-07,8,35,48,13,68,40,15,34,18
2022-08,0,29,46,11,61,35,12,32,17
