"...1","text","arousal"
134,"Your glory shall be great, and your reward in powerful friendship.","L"
150,"They gave him his dinner in a stone hut like a cubical boulder, with no door or windows in its two openings; a bright fire of sticks  brought on muleback from the first valley below  burning outside, sent in a wavering glare; and two candles in tin candlesticks - lighted, it was explained to him, in his honour - stood on a sort of rough camp table, at which he sat on the right hand of the chief.","L"
178,"The English would have been interested enough to send a boat  ashore to go through our pockets, and whether dead or only half dead we  wouldn't  have been in a state to prevent them.","L"
91,"Thus we find such modern creatures as the tapir - an animal with quite a respectable length of pedigree - the great deer, and the ant-eater in the companionship of reptilian forms of jurassic type.","L"
122,"Katharine had forgotten to remove this token of her star-gazing.","L"
133,"At first exciting, then it became boring and finally intolerable.","H"
148,"Cold abstraction, fleshless skeleton, daughter, mother, and mate of Death!","H"
153,"With me, then, it seems, you cannot go: but if you are sincere in your offer, I will, while in town, speak to a married missionary, whose wife needs a coadjutor.","L"
200,"He would lead her away to sequestered rustic seats, whence the rush of the surf to the sands was heard soft and soothing; and when he had her all to himself, and the sea lay before them, and the scented shade of gardens spread round, and the tall shelter of cliffs rose behind them, he would pull out his last batch of sonnets, and read them in a voice tremulous with emotion.","H"
61,"As often happens in the gulf when the showers during the first part of the night had been frequent and heavy, the darkness had thinned considerably towards the morning though there were no signs of daylight as yet.","L"
63,"Bolt was glad to obey, for he was tired and hungry after his dismal  failure.","H"
46,"He need fear no desertion as long as some hope remains of that enormous plunder turning up.","H"
131,"""Living, as I do, in an educated and scientific atmosphere, I could not have conceived that the first principles of zoology were so little known.","L"
180,"And yet nobody could have worked harder or done better in all the recognized stages of a young man's life than Ralph had done, and Joan had to gather materials for her fears from trifles in her brother's behavior which would have escaped any other eye.","H"
51,"I do not know what kind of creatures inhabit such a thicket, but several times we heard the plunging of large, heavy animals quite close to us.","L"
55,"A terrible scream - a prolonged yell of horror and anguish burst out of the silence of the moor.","H"
27,"Good-by, my wise, dear, grave little god-daughter.","H"
96,"When the dawn of Christmas morning broke, my Frank was with God.","L"
85,"It may be the extreme of mortal misery, it may be sheer waste of time, and fruitless torture of feeling.","H"
110,"Not wishing him to go quite away, only desiring he should feel that such a transport as he had that day given way to, could not be indulged with perfect impunity, I was not sorry to see him, soon after, gardening in the berceau.","L"
64,"Adele now petitioned to go down; but I took her on my knee, and gave her to understand that she must not on any account think of venturing in sight of the ladies, either now or at any other time, unless expressly sent for: that Mr. Rochester would be very angry,  c. ""Some natural tears she shed"" on being told this; but as I began to look very grave, she consented at last to wipe them.","L"
43,"His vitality was pleasant, Mary thought, although he made her laugh.","H"
82,"Her features lost the appearance of stony indifference that had exasperated her father into his outburst of anger and sorrow.","H"
182,"Symons  experienced the feeling of a very narrow escape; yet it brought not much  relief.","L"
192,"Shirley showed she had been sincere in saying she should be glad of Caroline's society, by frequently seeking it; and, indeed, if she had not sought it, she would not have had it, for Miss Helstone was slow to make fresh acquaintance.","L"
105,"What she said was very simple, but her words, even ""Your tea, William,"" were set down as gently and cautiously and exactly as the feet of a Persian cat stepping among China ornaments.","L"
167,"""Yes, Mrs Egerton,"" said her father, and went on telling his story about Mrs Egerton, ""whose golden hair was said by the voice of slander not to be entirely her own.""","L"
197,"The Admiral, who had been all the time looking absently at the Amelia  keeping her station with the tartane in tow, said:    ""You have a very smart little ship, Vincent.","L"
